clause_type,contract_title,confidence_bucket,score,threshold,ref_cosine_sim,summary,severity,watch_out_for,llm_model,raw_response
Non-Transferable License,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,high,0.6191,0.5,0.4644,"This Co-Branding Agreement outlines the terms between VerticalNet and PaperExchange, including definitions of key terms like Affiliate and Career Center Net Revenue. The agreement's specifics, such as control and ownership thresholds, could impact the parties' rights and obligations. Understanding these definitions is crucial for navigating the agreement's implications.",Low,The 50% ownership threshold for determining 'control' in the Affiliate definition,llama-3.3-70b-versatile,"{
  ""summary"": ""This Co-Branding Agreement outlines the terms between VerticalNet and PaperExchange, including definitions of key terms like Affiliate and Career Center Net Revenue. The agreement's specifics, such as control and ownership thresholds, could impact the parties' rights and obligations. Understanding these definitions is crucial for navigating the agreement's implications."",
   ""severity"": ""Low"",
   ""watch_out_for"": ""The 50% ownership threshold for determining 'control' in the Affiliate definition""
}"
License Grant,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,high,0.6176,0.5,0.5196,"This Co-Branding Agreement outlines the terms between VerticalNet and PaperExchange, including definitions of key terms like Affiliate and Career Center Net Revenue. The agreement's scope and potential liabilities are crucial to understand. It sets the stage for the relationship between the two parties, impacting their mutual obligations and potential risks.",LOW,Definition of 'control' in Section 1.1 and its implications on affiliate relationships,llama-3.3-70b-versatile,"{
  ""summary"": ""This Co-Branding Agreement outlines the terms between VerticalNet and PaperExchange, including definitions of key terms like Affiliate and Career Center Net Revenue. The agreement's scope and potential liabilities are crucial to understand. It sets the stage for the relationship between the two parties, impacting their mutual obligations and potential risks."",
   ""severity"": ""LOW"",
   ""watch_out_for"": ""Definition of 'control' in Section 1.1 and its implications on affiliate relationships""
}"
Rofr/Rofo/Rofn,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.5027,0.5,0.3327,"This clause outlines the revenue sharing terms between VerticalNet and PaperExchange for co-branded equipment listings, with VerticalNet paying a percentage of net revenue to PaperExchange. The definition of 'Equipment Listings Net Revenue' is detailed and includes various revenue streams, minus certain deductions. The clause's complexity and potential for dispute over revenue calculations make it noteworthy.",Medium,The methodology for calculating 'Equipment Listings Net Revenue' and ensuring accurate payments under Section 7.1.2,llama-3.3-70b-versatile,"{
  ""summary"": ""This clause outlines the revenue sharing terms between VerticalNet and PaperExchange for co-branded equipment listings, with VerticalNet paying a percentage of net revenue to PaperExchange. The definition of 'Equipment Listings Net Revenue' is detailed and includes various revenue streams, minus certain deductions. The clause's complexity and potential for dispute over revenue calculations make it noteworthy."",
   ""severity"": ""Medium"",
   ""watch_out_for"": ""The methodology for calculating 'Equipment Listings Net Revenue' and ensuring accurate payments under Section 7.1.2""
}"
Competitive Restriction Exception,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.5027,0.5,0.3895,"The clause outlines the revenue sharing terms for co-branded equipment listings between VerticalNet and PaperExchange, with VerticalNet paying a percentage of net revenue to PaperExchange. This matters because it directly impacts the financial relationship and potential earnings of both parties. The clause's specifics, such as the definition of 'Equipment Listings Net Revenue', are crucial for understanding the financial obligations.",Medium,"The calculation of 'Equipment Listings Net Revenue' and the potential for disputes over credits, allowances, or tax deductions",llama-3.3-70b-versatile,"{
  ""summary"": ""The clause outlines the revenue sharing terms for co-branded equipment listings between VerticalNet and PaperExchange, with VerticalNet paying a percentage of net revenue to PaperExchange. This matters because it directly impacts the financial relationship and potential earnings of both parties. The clause's specifics, such as the definition of 'Equipment Listings Net Revenue', are crucial for understanding the financial obligations."",
   ""severity"": ""Medium"",
   ""watch_out_for"": ""The calculation of 'Equipment Listings Net Revenue' and the potential for disputes over credits, allowances, or tax deductions""
}"
Non-Compete,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.503,0.5,0.3589,"This clause outlines the terms of cooperation between VerticalNet and PaperExchange at trade shows, including booth space and sales force presence. It requires PaperExchange to expand its sales force and promote Pulp and Paper Online. The clause has some mutual obligations but also creates potential open-ended liability for PaperExchange.",Medium,The lack of clear caps on costs and resources that PaperExchange is required to commit to trade shows and sales force expansion,llama-3.3-70b-versatile,"{
  ""summary"": ""This clause outlines the terms of cooperation between VerticalNet and PaperExchange at trade shows, including booth space and sales force presence. It requires PaperExchange to expand its sales force and promote Pulp and Paper Online. The clause has some mutual obligations but also creates potential open-ended liability for PaperExchange."",
   ""severity"": ""Medium"",
   ""watch_out_for"": ""The lack of clear caps on costs and resources that PaperExchange is required to commit to trade shows and sales force expansion""
}"
Audit Rights,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.5035,0.5,0.3339,"This clause defines confidential information and outlines exceptions to its disclosure, which is crucial for protecting sensitive business data. The definition of confidential information is broad and includes various types of proprietary information. It matters because it sets the stage for how sensitive information will be handled between the parties.",Low,"Ensure that the exceptions to confidential information, such as publicly available information or prior knowledge, are clearly defined and reasonable to avoid unintended disclosures.",llama-3.3-70b-versatile,"{
  ""summary"": ""This clause defines confidential information and outlines exceptions to its disclosure, which is crucial for protecting sensitive business data. The definition of confidential information is broad and includes various types of proprietary information. It matters because it sets the stage for how sensitive information will be handled between the parties."",
   ""severity"": ""Low"",
   ""watch_out_for"": ""Ensure that the exceptions to confidential information, such as publicly available information or prior knowledge, are clearly defined and reasonable to avoid unintended disclosures.""
}"
Revenue/Profit Sharing,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.5081,0.5,0.5217,"This clause defines key terms related to intellectual property, advertising revenue, and website links, which are crucial in understanding the contractual obligations and revenue sharing model. It outlines the scope of intellectual property rights, net advertising revenue calculations, and site linking mechanisms. These definitions have a direct impact on the financial and operational aspects of the agreement.",Low,Ensure that the definitions of Net Advertising Revenue and Intellectual Property Rights are aligned with industry standards and do not unfairly favor one party.,llama-3.3-70b-versatile,"{
  ""summary"": ""This clause defines key terms related to intellectual property, advertising revenue, and website links, which are crucial in understanding the contractual obligations and revenue sharing model. It outlines the scope of intellectual property rights, net advertising revenue calculations, and site linking mechanisms. These definitions have a direct impact on the financial and operational aspects of the agreement."",
   ""severity"": ""Low"",
   ""watch_out_for"": ""Ensure that the definitions of Net Advertising Revenue and Intellectual Property Rights are aligned with industry standards and do not unfairly favor one party.""
}"
Uncapped Liability,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.5088,0.5,0.1639,"This clause defines various terms related to PaperExchange, including its home page, link, mark, revenue, and site. It matters because these definitions can impact the interpretation of other clauses in the contract. The lack of carve-outs or caps in these definitions could lead to open-ended liability.",High,Uncapped liability for Transaction Fees and gross revenue,llama-3.3-70b-versatile,"{
  ""summary"": ""This clause defines various terms related to PaperExchange, including its home page, link, mark, revenue, and site. It matters because these definitions can impact the interpretation of other clauses in the contract. The lack of carve-outs or caps in these definitions could lead to open-ended liability."",
   ""severity"": ""High"",
   ""watch_out_for"": ""Uncapped liability for Transaction Fees and gross revenue""
}"
Renewal Term,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.5157,0.5,0.1632,"This clause defines various terms related to intellectual property, links, and revenue calculations, which are crucial in understanding the contractual obligations and potential liabilities. The definitions provided seem to be standard and do not inherently introduce significant risk. However, their application within the contract could have implications for both parties.",Low,Ensure that these definitions are consistently applied throughout the contract and do not inadvertently create one-sided obligations or liabilities.,llama-3.3-70b-versatile,"{
  ""summary"": ""This clause defines various terms related to intellectual property, links, and revenue calculations, which are crucial in understanding the contractual obligations and potential liabilities. The definitions provided seem to be standard and do not inherently introduce significant risk. However, their application within the contract could have implications for both parties."",
   ""severity"": ""Low"",
   ""watch_out_for"": ""Ensure that these definitions are consistently applied throughout the contract and do not inadvertently create one-sided obligations or liabilities.""
}"
Change Of Control,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.5175,0.5,0.3409,"The provided clause defines various terms related to the agreement, including Transaction Fees, VerticalNet Content, and VerticalNet Links, which are crucial in understanding the obligations and liabilities of the parties involved. These definitions can significantly impact the contract's overall meaning and the rights of the parties. The clause's complexity and potential for ambiguity make it essential to carefully review and negotiate.",LOW,"Ambiguity in the definitions of key terms, such as VerticalNet Content and VerticalNet Deliverable, which could lead to disputes or unintended consequences if not clearly understood and agreed upon by both parties.",llama-3.3-70b-versatile,"{
  ""summary"": ""The provided clause defines various terms related to the agreement, including Transaction Fees, VerticalNet Content, and VerticalNet Links, which are crucial in understanding the obligations and liabilities of the parties involved. These definitions can significantly impact the contract's overall meaning and the rights of the parties. The clause's complexity and potential for ambiguity make it essential to carefully review and negotiate."",
   ""severity"": ""LOW"",
   ""watch_out_for"": ""Ambiguity in the definitions of key terms, such as VerticalNet Content and VerticalNet Deliverable, which could lead to disputes or unintended consequences if not clearly understood and agreed upon by both parties.""
}"
Notice Period To Terminate Renewal,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.5176,0.5,0.2127,"The clause defines various terms related to the agreement, including the term, third-party advertising allocation, and transaction fees. It matters because it sets the foundation for the contractual relationship and obligations between the parties. The definitions provided will impact the interpretation of the agreement.",Low,Ambiguous or unclear definitions that could lead to disputes,llama-3.3-70b-versatile,"{
  ""summary"": ""The clause defines various terms related to the agreement, including the term, third-party advertising allocation, and transaction fees. It matters because it sets the foundation for the contractual relationship and obligations between the parties. The definitions provided will impact the interpretation of the agreement."",
   ""severity"": ""Low"",
   ""watch_out_for"": ""Ambiguous or unclear definitions that could lead to disputes""
}"
Insurance,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.5208,0.5,0.1814,"This clause defines various terms related to PaperExchange, including its home page, link, mark, revenue, and site. It matters because these definitions can impact the interpretation of the contract and the rights and obligations of the parties. The definitions seem to focus on establishing the scope of PaperExchange's brand and online presence.",Low,Ensure that these definitions are consistent throughout the contract and do not inadvertently create ambiguity or conflict with other terms.,llama-3.3-70b-versatile,"{
  ""summary"": ""This clause defines various terms related to PaperExchange, including its home page, link, mark, revenue, and site. It matters because these definitions can impact the interpretation of the contract and the rights and obligations of the parties. The definitions seem to focus on establishing the scope of PaperExchange's brand and online presence."",
   ""severity"": ""Low"",
   ""watch_out_for"": ""Ensure that these definitions are consistent throughout the contract and do not inadvertently create ambiguity or conflict with other terms.""
}"
Post-Termination Services,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.5271,0.5,0.4354,"This clause defines various terms related to intellectual property, advertising revenue, and website links, which are crucial in understanding the contractual obligations and potential liabilities. The definitions provided seem comprehensive, but their implications on the contract's overall balance need careful evaluation. These terms may significantly impact the parties' rights and responsibilities.",Low,"Ensure that the definitions, especially those related to intellectual property and revenue calculations, are mutually agreed upon and do not disproportionately favor one party.",llama-3.3-70b-versatile,"{
  ""summary"": ""This clause defines various terms related to intellectual property, advertising revenue, and website links, which are crucial in understanding the contractual obligations and potential liabilities. The definitions provided seem comprehensive, but their implications on the contract's overall balance need careful evaluation. These terms may significantly impact the parties' rights and responsibilities."",
   ""severity"": ""Low"",
   ""watch_out_for"": ""Ensure that the definitions, especially those related to intellectual property and revenue calculations, are mutually agreed upon and do not disproportionately favor one party.""
}"
Cap On Liability,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.5373,0.5,0.3897,"This clause defines key terms such as Branded Sites, Co-Branded URLs, and Confidential Information, which are crucial for understanding the agreement's scope and obligations. It matters because these definitions can significantly impact the parties' rights and liabilities. The clause's breadth and specificity can affect the balance of power in the agreement.",Low,The scope of Confidential Information to ensure it does not overly restrict normal business operations,llama-3.3-70b-versatile,"{
  ""summary"": ""This clause defines key terms such as Branded Sites, Co-Branded URLs, and Confidential Information, which are crucial for understanding the agreement's scope and obligations. It matters because these definitions can significantly impact the parties' rights and liabilities. The clause's breadth and specificity can affect the balance of power in the agreement."",
   ""severity"": ""Low"",
   ""watch_out_for"": ""The scope of Confidential Information to ensure it does not overly restrict normal business operations""
}"
Exclusivity,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,borderline,0.5406,0.5,0.4409,"This clause defines various terms related to intellectual property, links, and revenue calculations, which are crucial in understanding the contractual obligations and potential liabilities. The definitions provided seem comprehensive, but their implications on the contract's exclusivity and potential risks need careful evaluation. The clause's complexity may lead to disputes or unforeseen consequences if not properly negotiated.",Medium,Ambiguous or overly broad definitions that could lead to unintended interpretations or liabilities,llama-3.3-70b-versatile,"{
  ""summary"": ""This clause defines various terms related to intellectual property, links, and revenue calculations, which are crucial in understanding the contractual obligations and potential liabilities. The definitions provided seem comprehensive, but their implications on the contract's exclusivity and potential risks need careful evaluation. The clause's complexity may lead to disputes or unforeseen consequences if not properly negotiated."",
   ""severity"": ""Medium"",
   ""watch_out_for"": ""Ambiguous or overly broad definitions that could lead to unintended interpretations or liabilities""
}"
